taxonID,datasetID,family,genus,specificEpithet,infraspecificEpithet,taxonRank
8033380,f382f0ce-323a-4091-bb9f-add557f3a9a2,Pinaceae,Pinus,brutia,pendulifolia,subspecies
4174379,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,hardyi,NA,species
6711553,66dd0960-2d7d-46ee-a491-87b9adcfe7b1,Ericaceae,Rhododendron,rubrum,NA,species
4166486,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,chasmanthum,NA,species
7860896,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,augustinii,rubrum,variety
4166493,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,chasmanthoides,NA,species
6399532,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,augustinii,rubrum,subspecies
12301959,f382f0ce-323a-4091-bb9f-add557f3a9a2,Ericaceae,Rhododendron,augustinei,rubrum,variety
4174046,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,hirsuticostatum,NA,species
4168002,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,bergii,NA,species
12323483,f382f0ce-323a-4091-bb9f-add557f3a9a2,Ericaceae,Rhododendron,augustinei,hardyi,subspecies
6399535,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,augustinii,hardyi,subspecies
12288072,f382f0ce-323a-4091-bb9f-add557f3a9a2,Ericaceae,Rhododendron,augustinei,chasmanthum,subspecies
8351339,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,augustinii,chasmanthum,variety
12358647,f382f0ce-323a-4091-bb9f-add557f3a9a2,Ericaceae,Rhododendron,augustinei,chasmanthum,variety
12301292,f382f0ce-323a-4091-bb9f-add557f3a9a2,Ericaceae,Rhododendron,augustinei,rubrum,subspecies
4174435,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,vilmorinianum,NA,species
8180686,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,augustinii,yui,variety
4164883,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,augustinii,NA,species
4171880,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,ledoides,NA,species
12336775,f382f0ce-323a-4091-bb9f-add557f3a9a2,Ericaceae,Rhododendron,augustinei,yui,variety
8575658,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Ericaceae,Erica,caterviflora,glabrata,variety
5682118,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Erica,corymbosa,NA,species
7860014,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Erica,corymbosa,NA,species
